All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),thumbnailUrl,mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-08-04 09:00:00,"How often should a wood floor be sanded? For most Bristol homes the honest answer is every 10 to 15 years, sometimes longer with the right finish and a bit of care. If your boards are looking grey, scratched or patchy where the sun hits, that is usually surface wear rather than damage, and a full sand and refinish brings them back properly. We assess every floor before we quote so you know exactly what it needs and what it does not. No guesswork, no upselling, just a straight answer from a father and son team who have been sanding Bristol floors for 15 years.",,https://www.bearwooddesign.com/gbp-01.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding,,,,,,,,,,,,,,
2026-08-11 09:00:00,"Floor sanding in Bristol, done properly. Tired, scratched or greyed boards are brought back with a full sand through the grades and a finish chosen to suit the room, not whatever is on the van. We are a father and son team and every floor gets the same treatment: honest assessment, careful preparation, dust-contained machines and no shortcuts on the coats. Fifteen years of Bristol floors have taught us that the preparation you cannot see is what makes the finish you can. If your boards deserve better than carpet, get in touch.",,https://www.bearwooddesign.com/gbp-02.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding,,,,,,,,,,,,,,
2026-08-18 09:00:00,"Floor sanding in Clifton. The Georgian and Victorian townhouses here have some of the finest original boards in Bristol, wide pine and oak that has carried a century or two of footsteps. We sand and restore Clifton floors with the respect that timber deserves: careful repairs, proper preparation and finishes that suit period rooms. From garden flats to full townhouse projects, we cover the whole of Clifton. If your boards are hiding under old carpet or a tired finish, let us show you what is really there.",,https://www.bearwooddesign.com/gbp-03.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding-clifton,,,,,,,,,,,,,,
2026-08-25 09:00:00,"Bearwood Design is a father and son team, and that shapes everything about how we work. There is no sales office, no subcontractors and no gap between the person who quotes your floor and the person kneeling on it. Fifteen years of sanding, restoring and fitting floors across Bristol have built our name one job at a time, and every new floor carries all of that. When you call, you speak to the people doing the work. Simple as that.",,https://www.bearwooddesign.com/gbp-04.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,call,,,,,,,,,,,,,,,,,,,,,,
2026-09-01 09:00:00,"Can every wood floor be sanded? Nearly all solid boards can, and most engineered floors can too, as long as the wear layer is thick enough. That is the first thing we check when we look at a job. Sanding an engineered floor with a thin veneer is a quick way to ruin it, so we measure before we recommend anything. If your floor cannot take a full sand we will tell you straight and talk through what can be done instead. Fifteen years of working on Bristol floors means we have seen just about every board type there is.",,https://www.bearwooddesign.com/gbp-05.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding,,,,,,,,,,,,,,
2026-09-08 09:00:00,"Cold ground floors are a Bristol classic. Floor insulation deals with the cause: uninsulated suspended timber floors losing heat into the void beneath. We insulate between the joists, seal the gaps that feed draughts, and put the floor back properly. The difference is felt immediately, especially in period terraces where the ground floor never quite warms up. It is practical, unglamorous work that pays for itself in comfort and heating bills, and it is done with the same care we put into every floor we touch.",,https://www.bearwooddesign.com/gbp-06.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-insulation,,,,,,,,,,,,,,
2026-09-15 09:00:00,"Floor sanding in Redland. Redland's Victorian terraces were built with proper timber floors, and most of them are still there under the carpet, waiting. We work across Redland restoring original boards, filling draughty gaps and finishing floors to suit family life. Local, father and son, 15 years in, and never far away when you are ready for a look at the job. Redland floors respond beautifully to careful work, and careful work is the only kind we do. Get in touch and we will come and take a look.",,https://www.bearwooddesign.com/gbp-07.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding-redland,,,,,,,,,,,,,,
2026-09-22 09:00:00,"Our approach in one line: quality over a race to the bottom. Floors are long-term things, and the difference between a job done properly and a job done quickly shows up for years afterwards. We use the right machines, the right finishes and as much time as the floor needs, because a floor that looks superb in year five is the only result we are interested in. If that is the standard you want underfoot, we should talk. Every quote we give is built on that principle, and every finished floor proves it.",,https://www.bearwooddesign.com/gbp-08.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,call,,,,,,,,,,,,,,,,,,,,,,
2026-09-29 09:00:00,"Worried about dust? It is the question we get asked most. Modern sanding machines with proper extraction capture the vast majority of dust at the source, so the days of a house coated in powder are long gone. We still seal doorways and take care around furniture and shelving, because a tidy job matters as much as a good finish. Most customers are surprised how clean the room is when we hand it back. If dust has been putting you off having your floors done, it should not be the thing that stops you.",,https://www.bearwooddesign.com/gbp-09.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding,,,,,,,,,,,,,,
2026-10-06 09:00:00,"Floor restoration is where our work speaks loudest. Original boards, parquet and herringbone that have spent decades under carpet come out the other side looking like they were laid last month. Repairs first, then sanding, then a finish matched to the wood and the way the room is used. We take on the floors other trades write off, because with 15 years of experience most of them can be saved. Restoring what is already there nearly always beats replacing it, in character and in cost.",,https://www.bearwooddesign.com/gbp-10.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-restoration,,,,,,,,,,,,,,
2026-10-13 09:00:00,"Floor sanding in Bishopston. From the terraces off Gloucester Road to the larger semis towards Horfield, Bishopston homes are full of original floorboards with plenty of life left in them. We sand, repair and refinish boards across Bishopston, turning tired floors into the feature of the room. Being Bristol based means quick visits to quote and no travelling circus arriving at your door, just two of us, the right machines and a tidy job from start to finish. One look at the boards and we will give you an honest picture of the job.",,https://www.bearwooddesign.com/gbp-11.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding-bishopston,,,,,,,,,,,,,,
2026-10-20 09:00:00,"If we have sanded, restored or fitted a floor for you, a Google review takes a minute and genuinely helps our small family business get found by the next customer. We do not run marketing departments or ad campaigns, we rely on our floors and the people standing on them. Honest words about your experience, good and bad, are how we keep improving and how neighbours find us. Thank you to everyone who has already left one. Just search for Bearwood Design on Google and the review box does the rest.",,https://www.bearwooddesign.com/gbp-12.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,call,,,,,,,,,,,,,,,,,,,,,,
2026-10-27 09:00:00,"Oil or lacquer? It is the big decision on any refinish. Lacquer sits on top of the wood and gives a tough, wipe-clean surface that suits busy hallways and kitchens. Oil soaks into the grain for a more natural look and can be patch-repaired without redoing the whole floor. Neither is better, they just suit different rooms and different lives. When we restore a floor we talk you through both, look at how the room is used, and recommend what will actually last. The right finish is half the job.",,https://www.bearwooddesign.com/gbp-13.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-restoration,,,,,,,,,,,,,,
2026-11-03 09:00:00,"Floor fitting with a restorer's eye. Because we spend our days sanding and restoring floors, we fit new ones the way we would want to find them in fifteen years: properly acclimatised timber, sound subfloor preparation, tight consistent boards. Solid or engineered, whole rooms or repairs woven into existing floors, the standard is the same. A floor is only as good as its fitting, and everything from squeaks to gaps traces back to that first day. We get the first day right.",,https://www.bearwooddesign.com/gbp-14.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-fitting,,,,,,,,,,,,,,
2026-11-10 09:00:00,"Floor sanding in Cotham. Cotham's period houses and conversions hold some lovely original floors, and flats especially benefit from boards done properly, sound fixings, gaps dealt with and a durable finish. We work in occupied homes all the time, so the job is planned around you: sealed doorways, contained dust and rooms handed back clean. If you are in Cotham and wondering whether the boards under your feet are worth restoring, the answer is usually a pleasant surprise. Ask us over for a look and we will tell you exactly what your floor needs.",,https://www.bearwooddesign.com/gbp-15.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-sanding-cotham,,,,,,,,,,,,,,
2026-11-17 09:00:00,"How we quote: we look first. Every floor is different, hidden repairs are common, and a price given over the phone without seeing the boards is a guess dressed up as a quote. So we visit, we check the timber, we tell you what it needs and what it does not, and the price we give is the price you pay. Fifteen years in, we have found honesty at the quoting stage is what brings the next three jobs. If you want a straight answer about your floor, we are easy to get hold of.",,https://www.bearwooddesign.com/gbp-16.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,call,,,,,,,,,,,,,,,,,,,,,,
2026-11-24 09:00:00,"Gaps between your floorboards are more than a looks issue. In older Bristol properties they are a steady draught straight from the void below, and that is heat you are paying for going nowhere. Filling gaps and insulating beneath the boards makes a noticeable difference to how warm a room feels and how quickly it heats up. It is one of the most practical improvements you can make to a period home, and it can be done as part of a floor project or on its own. Warmer floors, lower bills, same boards.",,https://www.bearwooddesign.com/gbp-17.jpg,,,,TRUE,FALSE,,,,,,,,call_to_action,learn_more,,,,,,,,https://www.bearwooddesign.com/floor-insulation,,,,,,,,,,,,,,
